咸阳市,5096001,380309,0.974941429,咸阳市,陕西省,三线及以下,108.3916497,34.78654426,西北
商洛市,2341742,91009,0.972673032,商洛市,陕西省,三线及以下,109.8994284,33.64777458,西北
安康市,2629906,128412,0.975640906,安康市,陕西省,三线及以下,108.9284353,32.75667169,西北
宝鸡市,3716737,245838,0.970854791,宝鸡市,陕西省,三线及以下,107.1993946,34.37923806,西北
延安市,2187009,186504,0.974284734,延安市,陕西省,三线及以下,109.3182922,36.43548548,西北
榆林市,3351436,361779,0.978796448,榆林市,陕西省,三线及以下,109.5499787,38.0356259,西北
汉中市,3416196,195707,0.972790958,汉中市,陕西省,三线及以下,107.1009914,33.09120994,西北
渭南市,5286077,277175,0.974561198,渭南市,陕西省,三线及以下,109.8484405,34.94728407,西北
西安市,8467838,2032034,0.966868665,西安市,陕西省,二线,108.7837633,34.10621681,西北
铜川市,834437,53657,0.973554243,铜川市,陕西省,三线及以下,109.0324179,35.19490842,西北
海东市,1396845,29650,0.918617201,海东市,青海省,三线及以下,102.3436308,36.32893483,西北
西宁市,2208708,175361,0.909649238,西宁市,青海省,三线及以下,101.4495948,36.81656849,西北
七台河市,920471,54910,0.975887816,七台河市,黑龙江省,三线及以下,130.9704298,45.91103336,东北
伊春市,1148126,75956,0.970996366,伊春市,黑龙江省,三线及以下,129.2005796,47.80304955,东北
佳木斯市,2552097,197464,0.975104323,佳木斯市,黑龙江省,三线及以下,132.2360925,47.27247682,东北
双鸭山市,1462626,93821,0.971040599,双鸭山市,黑龙江省,三线及以下,132.5404067,46.68145777,东北
哈尔滨市,10635971,1219947,0.969798688,哈尔滨市,黑龙江省,三线及以下,127.9557599,45.63574715,东北
大庆市,2904532,293340,0.968582532,大庆市,黑龙江省,三线及以下,124.70207,46.34271683,东北
牡丹江市,2798723,202802,0.96932476,牡丹江市,黑龙江省,三线及以下,129.8893101,44.59320966,东北
绥化市,5418153,208104,0.975627571,绥化市,黑龙江省,三线及以下,126.6347861,46.8918917,东北
鸡西市,1862165,121485,0.972235255,鸡西市,黑龙江省,三线及以下,132.27999,45.6316844,东北
鹤岗市,1058665,76524,0.973407036,鹤岗市,黑龙江省,三线及以下,130.8041176,47.63909731,东北
黑河市,1673899,112545,0.973743836,黑河市,黑龙江省,三线及以下,126.9978173,49.25535949,东北
齐齐哈尔市,5367003,284455,0.971963931,齐齐哈尔市,黑龙江省,三线及以下,124.5356942,47.69864886,东北
